"","BirdID","Genetic_dad","Genetic_mum","Cohort","Immigrant","Cohort_dad","Cohort_mum","genetic_dad_age","genetic_mum_age","AgeGroupGeneticDad","AgeGroupGeneticMum","Mate","TSRatio","mean_genetic_dad","mean_genetic_mum","deltaGeneticDad","deltaGeneticMum","centered_geneticdad_age","centered_geneticmom_age","Plate","BloodAge","DNAAge","CaptureYear","offspring_age"
"25",4275,4440,4463,2000,0,1997,1999,3,1,"young","young","young - young",0.917303836,2,2.61111111111111,1,1.61111111111111,-1,1.61111111111111,"NdR_hstel2016_pMEAdCh5_newm_meltcurve.csvresultstotal.csv",9,7,2000,0
"35",4500,4441,4399,2000,0,1999,1994,1,6,"young","old","young - old",0.714189533,2,2.61111111111111,1,3.38888888888889,1,-3.38888888888889,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",8,6,2001,1
"36",4502,4443,4416,2000,0,1999,1998,1,2,"young","young","young - young",0.856953536,2,2.61111111111111,1,0.611111111111111,1,0.611111111111111,"MEM_Adults_plate43_270515_data.csvresultstotal.csv",8,6,2001,1
"86",249,4442,4413,2001,0,1999,1999,2,2,"young","young","young - young",0.754215403,1.8125,2.46875,0.1875,0.46875,-0.1875,0.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"87",250,4285,4480,2001,0,2000,2000,1,1,"young","young","young - young",0.759635944,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"90",251,4273,4135,2001,0,2000,2000,1,1,"young","young","young - young",0.54917144,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",14,0,2001,0
"91",722,4497,4282,2001,0,1999,2000,2,1,"young","young","young - young",0.922504568,1.8125,2.46875,0.1875,1.46875,-0.1875,1.46875,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",7,6,2002,1
"93",723,4177,4467,2001,0,2000,2000,1,1,"young","young","young - young",0.690182937,1.8125,2.46875,0.8125,1.46875,0.8125,1.46875,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",13,0,2002,1
"98",724,4447,4477,2001,0,1999,2000,2,1,"young","young","young - young",0.7691076,1.8125,2.46875,0.1875,1.46875,-0.1875,1.46875,"MEM_Adults_plate41_270515_data.csvresultstotal.csv",7,6,2002,1
"109",253,4436,4230,2002,0,1997,2000,5,2,"old","young","old - young",0.794825775,1.84375,2.125,3.15625,0.125,-3.15625,0.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"112",256,4436,4230,2002,0,1997,2000,5,2,"old","young","old - young",1.495954889,1.84375,2.125,3.15625,0.125,-3.15625,0.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"115",287,4291,4417,2002,0,2000,1999,2,3,"young","young","young - young",1.151724889,1.84375,2.125,0.15625,0.875,-0.15625,-0.875,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,11,2003,1
"118",298,123,4303,2002,0,2001,2000,1,2,"young","young","young - young",1.052734664,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",1,11,2003,1
"119",301,108,4153,2002,0,2001,2000,1,2,"young","young","young - young",1.357395375,1.84375,2.125,0.84375,0.125,0.84375,0.125,"NdR_hstel2016_pMEAdCh1_newm_meltcurve.csvresultstotal.csv",1,11,2003,1
"122",338,76,144,2002,0,2001,2001,1,1,"young","young","young - young",0.908796983,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"127",346,38,4403,2002,0,2001,1995,1,7,"young","old","young - old",1.64598181,1.84375,2.125,0.84375,4.875,0.84375,-4.875,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",1,11,2003,1
"130",353,4290,4275,2002,0,2000,2000,2,2,"young","young","young - young",0.720758321,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"NdR_hstel2016_pMEAdCh2_newm.csvresultstotal.csv",1,11,2003,1
"133",354,4290,4275,2002,0,2000,2000,2,2,"young","young","young - young",0.301218658,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
"135",356,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.98618992,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",1,11,2003,1
"136",356,51,24,2002,0,2001,2001,1,1,"young","young","young - young",0.98618992,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"138",363,4447,4477,2002,0,1999,2000,3,2,"young","young","young - young",0.874191032,1.84375,2.125,1.15625,0.125,-1.15625,0.125,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",12,0,2003,1
"139",370,4178,110,2002,0,2000,2001,2,1,"young","young","young - young",0.989665133,1.84375,2.125,0.15625,1.125,-0.15625,1.125,"MEM_Adults_plate38bis_030615_data.csvresultstotal.csv",1,11,2003,1
"140",371,4178,110,2002,0,2000,2001,2,1,"young","young","young - young",0.777506625,1.84375,2.125,0.15625,1.125,-0.15625,1.125,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
"142",393,4500,4264,2002,0,2000,2000,2,2,"young","young","young - young",1.910375995,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",1,11,2003,1
"148",416,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.727997134,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",12,0,2003,1
"149",416,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.727997134,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Aduts_reruns1_040615_data.csvresultstotal.csv",1,11,2003,1
"152",417,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.684245488,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate34_210515_data.csvresultstotal.csv",12,0,2003,1
"154",417,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.684245488,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",1,11,2003,1
"159",419,4217,4326,2002,0,2000,2000,2,2,"young","young","young - young",0.892914435,1.84375,2.125,0.15625,0.125,-0.15625,0.125,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",12,0,2003,1
"164",421,34,4153,2002,0,2001,2000,1,2,"young","young","young - young",0.829511259,1.84375,2.125,0.84375,0.125,0.84375,0.125,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",12,0,2003,1
"167",422,34,4429,2002,0,2001,1997,1,5,"young","old","young - old",0.790921821,1.84375,2.125,0.84375,2.875,0.84375,-2.875,"MEM_Adults_plate46_010615_data.csvresultstotal.csv",1,11,2003,1
"170",427,32,104,2002,0,2001,2001,1,1,"young","young","young - young",2.534299875,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate37_220515_data.csvresultstotal.csv",1,11,2003,1
"173",428,32,104,2002,0,2001,2001,1,1,"young","young","young - young",0.339907683,1.84375,2.125,0.84375,1.125,0.84375,1.125,"MEM_Adults_plate40_270515_data.csvresultstotal.csv",1,11,2003,1
