"","BirdID","Cohort","BroodRef","TSRatio","BroodName","NestboxRef","SocialDadID","SocialDadCertain","SocialdadIsGenetic","SocialMumID","SocialMumCertain","SocialMumIsGenetic","Notes","Cohort_dad","Cohort_mum","age_dad","age_mum","mean_social_dad","mean_social_mum","deltaSocialDad","deltaSocialMum","Plate","BloodAge","DNAAge","CaptureYear","offspring_age"
"49",249,2001,NA,0.754215403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"50",250,2001,NA,0.759635944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Adults_plate42_270515_data.csvresultstotal.csv",14,0,2001,0
"53",251,2001,NA,0.54917144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.86666666666667,NA,NA,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",14,0,2001,0
"54",253,2002,212,0.794825775,"B001",208,4230,TRUE,FALSE,4436,TRUE,FALSE,NA,"2000","1997",2,5,2.29545454545455,2.2258064516129,-0.295454545454545,2.7741935483871,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"57",256,2002,212,1.495954889,"B001",208,4230,TRUE,FALSE,4436,TRUE,FALSE,NA,"2000","1997",2,5,2.29545454545455,2.2258064516129,-0.295454545454545,2.7741935483871,"MEM_Aduts_reruns2_080615_2_data.csvresultstotal.csv",1,11,2003,1
"60",287,2002,221,1.151724889,"B010",314,4417,TRUE,FALSE,4291,TRUE,FALSE,NA,"1999",NA,3,NA,2.29545454545455,2.2258064516129,0.704545454545455,NA,"MEM_Adults_plate35_210515_data.csvresultstotal.csv",1,11,2003,1
"63",298,2002,224,1.052734664,"B013",315,4303,TRUE,FALSE,123,TRUE,FALSE,NA,NA,"2001",NA,1,2.29545454545455,2.2258064516129,NA,-1.2258064516129,"MEM_Adults_plate45_290515_data.csvresultstotal.csv",1,11,2003,1
"64",301,2002,225,1.357395375,"B014",270,4153,TRUE,FALSE,108,TRUE,FALSE,NA,"2000",NA,2,NA,2.29545454545455,2.2258064516129,-0.295454545454545,NA,"NdR_hstel2016_pMEAdCh1_newm_meltcurve.csvresultstotal.csv",1,11,2003,1
"67",338,2002,233,0.908796983,"B022",296,NA,FALSE,FALSE,15,TRUE,FALSE,NA,NA,NA,NA,NA,2.29545454545455,2.2258064516129,NA,NA,"MEM_Adults_plate36_220515_data.csvresultstotal.csv",12,0,2003,1
"72",346,2002,235,1.64598181,"B024",225,4403,TRUE,FALSE,38,TRUE,FALSE,NA,"1995",NA,7,NA,2.29545454545455,2.2258064516129,4.70454545454546,NA,"MEM_Adults_plate38_260515_data.csvresultstotal.csv",1,11,2003,1
"75",353,2002,236,0.720758321,"B025",216,4275,TRUE,FALSE,4290,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"NdR_hstel2016_pMEAdCh2_newm.csvresultstotal.csv",1,11,2003,1
"78",354,2002,236,0.301218658,"B025",216,4275,TRUE,FALSE,4290,TRUE,FALSE,NA,"2000","2000",2,2,2.29545454545455,2.2258064516129,-0.295454545454545,-0.225806451612903,"MEM_Adults_plate47_030615_data.csvresultstotal.csv",1,11,2003,1
